customer_id,age,annual_income,region,preferred_channel,days_since_last_purchase,purchase_frequency,avg_order_value,total_orders,return_rate,loyalty_years,spending_score,email_open_rate,support_tickets,promo_usage_rate,cluster,segment_name
CUST_00001,56.0,40410.14373288096,East,online,162.1232674823863,8.0,248.5358978520393,26.0,0.1437367119957028,2.274237280290272,82.0,0.2100983919965316,1.0,0.2835610094345054,0,Budget Shoppers
CUST_00002,69.0,65734.05509416955,Central,mobile,47.73630726163567,7.0,26.022028021034416,35.0,0.0076486206009857,2.959128623069065,45.0,0.2114597656785688,3.0,0.428064002534532,0,Budget Shoppers
CUST_00003,46.0,78917.51860739526,Central,store,47.091957046314704,9.0,41.71839265241868,38.0,0.0998057704022355,4.633947038651607,99.0,0.5170326020826219,1.0,0.3398712701446919,0,Budget Shoppers
CUST_00004,32.0,12000.0,South,online,9.95792995658581,9.0,58.3445769458508,32.0,0.0860564136566634,5.74507902539303,53.0,0.4984095161181211,0.0,0.6047869472509663,0,Budget Shoppers
CUST_00005,60.0,444985.364837092,North,online,62.754930881459686,7.0,276.3427703483948,35.0,0.0998969823216603,3.002082780789451,36.0,0.3034531236130354,0.0,0.3753618353597453,0,Budget Shoppers
CUST_00006,25.0,56486.60137843268,West,online,18.17779355926445,10.0,311.14230296225645,27.0,0.1214435657532067,5.493144815253108,51.0,0.2670448273778305,1.0,0.2814844607975691,0,Budget Shoppers
CUST_00007,,48934.40597495663,North,online,114.45031029020817,8.0,140.69666364785127,32.0,0.1440226889819089,2.212577869069159,18.0,0.1041004604868823,0.0,0.4229931875750083,0,Budget Shoppers
CUST_00008,56.0,64637.2929688129,South,online,2.9727127441905274,10.0,75.247133664705,27.0,0.0735439644607511,3.2274152072176547,12.0,0.3515296466684063,3.0,0.4172691241293688,0,Budget Shoppers
CUST_00009,36.0,72465.43136490925,South,mobile,20.03463117659548,6.0,94.37148214748508,36.0,0.1492895756609722,3.128914636683729,57.0,0.2563590234658937,1.0,0.3077287435964234,0,Budget Shoppers
CUST_00010,40.0,61125.12077514141,North,online,28.40500316832292,14.0,112.89944088996516,27.0,0.0294312284788139,8.725429677807762,46.0,0.404231977304302,1.0,0.3542951964355164,0,Budget Shoppers
CUST_00011,28.0,49775.79733091249,West,mobile,18.180975428778076,9.0,400.2588201613246,20.0,0.3224450208092461,5.501942614350623,89.0,0.3664935189641312,0.0,0.4844020956062753,-1,Noise / Outliers
CUST_00012,28.0,71917.66859525393,North,mobile,8.275951423135432,10.0,452.2929093325246,30.0,0.0374757337431704,7.382603141647387,100.0,0.4578782057920848,1.0,0.5120583280460672,0,Budget Shoppers
CUST_00013,41.0,59079.17500403585,Central,online,31.461983379744566,4.0,244.3344446620564,30.0,0.0163013338333358,8.031677952097715,41.0,0.3359646681941499,4.0,0.1617569330933185,0,Budget Shoppers
CUST_00014,70.0,52924.59090969948,East,mobile,49.35877431776144,8.0,113.93435089997656,29.0,0.1155717763499619,0.8221696885112184,20.0,0.4012239910867736,0.0,0.4819888943425326,0,Budget Shoppers
CUST_00015,53.0,233038.82818035025,Central,online,36.23140268071847,10.0,772.9817213227327,34.0,0.1398681826587591,9.53806182543464,75.0,0.052969703019468,0.0,0.4939461891396399,0,Budget Shoppers
CUST_00016,57.0,23621.59472414628,East,store,9.350573592051832,11.0,34.02468659073429,23.0,0.1711488559601273,3.407663920832823,20.0,0.2738184156134719,4.0,0.4037880320777057,0,Budget Shoppers
